model_id,logloss,auc,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_AllModels_3_AutoML_1_20211225_171543,0.3551900235872428,0.7362850619699934,0.3887982466926773,0.3313437703848663,0.3240970115263671,0.1050388728803221,266,0.082462,StackedEnsemble
StackedEnsemble_BestOfFamily_2_AutoML_1_20211225_171543,0.3555461418664423,0.73489516354487,0.391256414271988,0.3355022831050228,0.3242435329904959,0.1051338686861588,250,0.014374,StackedEnsemble
StackedEnsemble_BestOfFamily_3_AutoML_1_20211225_171543,0.355816976460058,0.7331888919951542,0.3853769391323992,0.3305609915198956,0.3245024221757207,0.1053018219979096,259,0.0156,StackedEnsemble
StackedEnsemble_AllModels_4_AutoML_1_20211225_171543,0.3560493898863424,0.7337130742708042,0.3842667015110583,0.3396444879321592,0.324583559336439,0.1053544869915116,275,0.102846,StackedEnsemble
StackedEnsemble_BestOfFamily_5_AutoML_1_20211225_171543,0.3570545927886397,0.7343430248811854,0.3842691702023441,0.3554631441617743,0.3254346938057428,0.1059077399324376,2356,0.017645,StackedEnsemble
StackedEnsemble_AllModels_6_AutoML_1_20211225_171543,0.3570580386313743,0.7319718572360451,0.3832460634618377,0.3415525114155251,0.3251743039954778,0.1057383279789434,2491,0.055105,StackedEnsemble
GBM_grid_1_AutoML_1_20211225_171543_model_1,0.3575602037873605,0.7358065417948001,0.3814114780415336,0.3257012393998695,0.3262002165603529,0.1064065812840211,158,0.009321,GBM
StackedEnsemble_AllModels_2_AutoML_1_20211225_171543,0.360129491293794,0.7302571987699189,0.3587813689187081,0.3428408349641226,0.3273626946488015,0.1071663338477244,375,0.019731,StackedEnsemble
StackedEnsemble_BestOfFamily_1_AutoML_1_20211225_171543,0.3608086926932769,0.7306057217407511,0.3561457238838651,0.334262883235486,0.3277185951974392,0.107399477638183,366,0.010607,StackedEnsemble
StackedEnsemble_AllModels_1_AutoML_1_20211225_171543,0.3623831554482335,0.7236664802907464,0.3579374058547186,0.3365949119373776,0.328148869300597,0.1076816804232603,527,0.014133,StackedEnsemble
GBM_1_AutoML_1_20211225_171543,0.3638726376440013,0.7253247600410027,0.3542320016496626,0.3342954990215264,0.3290116175884691,0.108248644508181,415,0.01123,GBM
StackedEnsemble_AllModels_5_AutoML_1_20211225_171543,0.3659554261945872,0.7136608890131395,0.3610946283531352,0.3659165035877365,0.3286233774321196,0.1079933241948933,3781,0.066029,StackedEnsemble
DeepLearning_grid_2_AutoML_1_20211225_171543_model_1,0.3688877139985869,0.6954845773926009,0.3583427471402906,0.3690313111545988,0.3292618455940493,0.1084133629639995,23403,0.014878,DeepLearning
GBM_grid_1_AutoML_1_20211225_171543_model_2,0.3702293782494341,0.7034404994874662,0.3520583992000848,0.3612850619699934,0.3315315502492014,0.1099131688106387,160,0.012892,GBM
GBM_2_AutoML_1_20211225_171543,0.3710705196177538,0.7073981921535738,0.3507242030220887,0.3512883235485975,0.3310933426771297,0.1096228015651152,164,0.007715,GBM
StackedEnsemble_BestOfFamily_4_AutoML_1_20211225_171543,0.3759300623293511,0.6978361755661169,0.3237652851525184,0.3641878669275929,0.3338891659363482,0.1114819751296703,2690,0.01444,StackedEnsemble
DeepLearning_grid_1_AutoML_1_20211225_171543_model_1,0.3766101699379807,0.7071559034572733,0.3496280954481415,0.342579908675799,0.3316740829794861,0.110007697320283,15814,0.005684,DeepLearning
GBM_5_AutoML_1_20211225_171543,0.3773916827326068,0.6933044450656975,0.3236667906925943,0.3564579256360078,0.3346127747013958,0.111965708993367,149,0.006425,GBM
GBM_3_AutoML_1_20211225_171543,0.3786125399575946,0.6987363712608331,0.3404033044016142,0.3682974559686889,0.333864022895908,0.1114651857842394,257,0.007805,GBM
DeepLearning_1_AutoML_1_20211225_171543,0.3854039000067225,0.6893490820985928,0.3103926376572815,0.3760110893672538,0.3377258552434117,0.1140587532998938,380,0.006636,DeepLearning
GBM_4_AutoML_1_20211225_171543,0.3914211238247366,0.6836809244245644,0.2905863387413039,0.367058056099152,0.3393706799379933,0.1151724584015759,196,0.007158,GBM
